zone_id,pixel_count_imperv2021_no0s_EMauiNui_clipped.tif,pixel_count_imperv2021_no0s_Kauai_clipped.tif,pixel_count_imperv2021_no0s_NorthHI_clipped.tif,pixel_count_imperv2021_no0s_NorthOahu_clipped.tif,pixel_count_imperv2021_no0s_SouthHI_clipped.tif,pixel_count_imperv2021_no0s_SouthOahu_clipped.tif,pixel_count_imperv2021_no0s_WMauiNui_clipped.tif
91,0,1047529,0,0,0,0,0
92,0,598787,0,0,0,0,0
93,0,0,0,0,0,0,31116
94,0,0,0,0,0,0,0
95,0,0,0,0,0,0,509676
96,0,0,0,0,0,0,48575
97,0,0,0,0,163728,0,0
98,0,0,0,0,1352726,0,0
99,0,0,160740,0,15880,0,0
100,0,0,0,0,769901,0,0
101,0,0,93408,0,0,0,0
102,49478,0,0,0,0,0,0
103,28896,0,0,0,0,0,0
104,0,0,0,0,241293,0,0
105,0,0,46700,0,0,0,0
106,0,0,101670,0,0,0,0
107,0,0,170195,0,155246,0,0
108,0,0,308093,0,0,0,0
109,0,16334,0,0,0,0,0
110,0,91186,0,0,0,0,0
111,0,227989,0,0,0,0,0
112,0,0,0,27867,0,0,0
113,0,0,0,267465,0,0,0
114,0,0,0,151949,0,0,0
115,0,0,0,1438603,0,0,0
116,0,0,0,42438,0,3656556,0
117,0,0,0,1112332,0,776560,0
118,0,0,0,0,0,0,0
119,0,0,0,0,0,0,34005
120,0,0,0,0,0,0,1643
121,0,0,0,0,0,0,0
122,0,0,0,0,0,0,694942
123,0,0,0,0,0,0,29030
124,0,0,0,0,176696,0,0
125,0,0,276949,0,0,0,0
126,0,0,0,0,76481,0,0
127,0,0,0,0,56818,0,0
128,0,41981,0,0,0,0,0
129,0,219442,0,0,0,0,0
130,0,0,0,0,0,3377773,0
131,0,0,0,2609914,0,1538521,0
132,0,0,0,0,0,2536045,0
133,0,0,0,0,0,1610687,0
134,0,0,0,0,0,0,36603
135,0,0,0,0,0,0,13
136,0,0,0,0,0,0,135162
137,0,0,0,0,0,0,793267
138,0,0,0,0,0,0,21201
139,0,0,0,0,0,0,24299
140,0,0,0,0,968121,0,0
141,0,0,157801,0,640769,0,0
142,0,0,0,0,49519,0,0
143,0,0,0,0,30501,0,0
144,0,0,0,0,15360,0,0
145,0,0,321491,0,0,0,0
146,0,0,3057323,0,3444192,0,0
147,0,0,184130,0,0,0,0
148,0,0,190153,0,0,0,0
149,0,0,0,0,296245,0,0
150,0,0,0,0,2434951,0,0
151,0,36004,0,0,0,0,0
152,0,4841,0,0,0,0,0
153,0,32379,0,0,0,0,0
154,0,9608,0,0,0,0,0
155,0,360916,0,0,0,0,0
156,0,322955,0,0,0,0,0
157,0,186224,0,0,0,0,0
158,0,0,0,494230,0,0,0
159,0,0,0,246149,0,0,0
160,0,0,0,0,0,0,111162
161,0,0,0,0,0,0,68807
162,0,0,0,0,0,0,6689
163,0,0,0,0,0,0,12366
164,0,0,0,0,0,0,170431
165,119,0,0,0,0,0,8122
166,0,0,0,0,0,0,400185
167,0,0,0,0,155834,0,0
168,0,0,270038,0,0,0,0
169,20568,0,0,0,0,0,0
170,0,0,0,0,7861,0,0
171,0,0,0,0,952841,0,0
172,0,0,53380,0,0,0,0
173,0,0,344260,0,351094,0,0
