zone_id,pixel_count_masked_utm4_hi_hawaii_2021_ccap_0.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_1.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_2.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_3.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_4.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_5.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_6.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_7.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_8.tif_3x3.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_0.tif_3x3.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_1.tif_3x3.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_2.tif_3x3.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_3.tif_3x3.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_0.tif_3x3.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_1.tif_3x3.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_2.tif_3x3.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_3.tif_3x3.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_0.tif_3x3.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_1.tif_3x3.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_2.tif_3x3.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_3.tif_3x3.tif
89,0,0,0,43850,274,0,79669,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30414,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956742,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538202,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27454,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310008,0,178486
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,56485
97,0,0,0,160690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,1268315,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,20856,0,0,126257,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,721758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,87910,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60647,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28795,0,0
104,43520,173547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,40468,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,92502,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,144,151075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,1388,1312,0,0,277762,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17808,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76511,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216592,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,23934,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,168588,0,88798,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,141048,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,1334629,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,3404955,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,1767930,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32352,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2885,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673342,0,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15348,0,24906
124,112214,0,0,54681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,259433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,61902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,49196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,9735,0,0,0,0,0,0,0
