zone_id,pixel_count_masked_utm4_hi_hawaii_2021_ccap_0.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_1.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_2.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_4.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_5.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_6.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_7.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_8.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_0.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_1.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_2.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_3.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_0.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_1.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_2.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_3.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_0.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_3.tif
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102485,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441228,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248978,0,0
112,0,0,0,0,0,0,0,0,0,0,0,137541,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,970384,0,512192,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,812568,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,7690487,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,19614317,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,10181106,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142854
124,645849,0,0,315309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,1492983,0,0,0,0,0,0,0,0,0,0,0,0
126,357502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,283531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,55485,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100745,0,0,0,0
130,0,0,0,0,0,0,0,0,0,18314902,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,17446785,868,5009960,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,14071118,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0,8618671,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733057
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4793391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
