zone_id,pixel_count_masked_utm4_hi_north_20171.tif_3x3.tif,pixel_count_masked_utm4_hi_north_20172.tif_3x3.tif,pixel_count_masked_utm4_hi_north_20173.tif_3x3.tif,pixel_count_masked_utm4_hi_north_20174.tif_3x3.tif,pixel_count_masked_utm4_hi_north_20175.tif_3x3.tif,pixel_count_masked_utm4_hi_north_20176_clip2.tif_3x3.tif,pixel_count_masked_utm4_hi_south_20171.tif_3x3.tif,pixel_count_masked_utm4_hi_south_20172.tif_3x3.tif,pixel_count_masked_utm4_hi_south_20173.tif_3x3.tif,pixel_count_masked_utm4_hi_south_20174.tif_3x3.tif,pixel_count_masked_utm4_hi_south_20175.tif_3x3.tif,pixel_count_masked_utm4_hi_south_20176.tif_3x3.tif,pixel_count_masked_utm4_hi_south_20177.tif_3x3.tif,pixel_count_masked_utm4_hi_south_20178.tif_3x3.tif,pixel_count_masked_utm4_hi_south_20179.tif_3x3.tif
99,0,0,0,0,0,0,0,0,0,120723,0,0,11988,0,0
100,0,0,0,0,0,0,0,0,0,651675,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,10134,0,0,68848,0,0
102,0,0,46268,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,28030,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,88608,103125,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,31001,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,78676,0
107,0,0,0,0,0,0,0,0,0,0,631,139386,0,0,0
108,0,0,0,0,0,0,0,0,0,0,1400,123721,0,0,144286
109,0,0,0,16426,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,65690,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,174666,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,28650,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,258366,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,83290,46539,0,0,0,0,0,0,0,0,0
115,0,0,0,0,124092,1163365,0,0,0,0,0,0,0,0,0
116,0,2700288,0,0,0,803555,0,0,0,0,0,0,0,0,0
117,0,120400,0,0,0,1631784,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,25674,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,2426,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,608701,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,38107,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,101614,0,0,38649,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,337,0,0,221189,0,0
126,0,0,0,0,0,0,56532,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,46653,0,0,0,0,0,0
128,0,0,0,2758,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,187346,0,0,0,0,0,0,0,0,0,0,0
130,4185,3278847,0,0,0,161,0,0,0,0,0,0,0,0,0
131,0,864274,0,0,2541,2871846,0,0,0,0,0,0,0,0,0
132,0,2481146,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,1494968,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,27391,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,132812,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,761711,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,19236,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,27830,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,766299,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,559745,0,0,0,0,0
142,0,0,0,0,0,0,44195,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,25977,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,10074,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,0,0,265617,0
146,0,0,0,0,0,0,0,0,0,0,1983,3123467,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0,0,160529,0
148,0,0,0,0,0,0,0,0,0,0,0,0,0,109372,32654
149,0,0,0,0,0,0,0,0,61533,0,0,282647,0,0,0
150,0,0,0,0,0,0,0,0,0,0,1364,1989308,0,0,0
151,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,29026,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,18700,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,291762,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,279267,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,135443,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,426399,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,218545,0,0,0,0,0,0,0,0,0
160,0,45470,11507,0,0,0,0,0,0,0,0,0,0,0,0
161,0,0,64614,0,0,0,0,0,0,0,0,0,0,0,0
162,0,0,3890,0,0,0,0,0,0,0,0,0,0,0,0
163,0,0,7906,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,161188,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,12085,0,0,0,0,0,0,0,0,0,0,0,0
166,0,0,388741,0,0,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,126220,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0,0,0,0,220264,0,0
169,0,0,24161,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,6407,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0,198627,664241,0,0,0
172,0,0,0,0,0,0,0,0,0,0,0,0,0,3710,46171
173,0,0,0,0,0,0,0,0,0,0,121860,181554,0,0,0
